lat,long,district
21.048,105.806,cầu giấy
21.039,105.816,ba đình
21.027,105.842,hoàn kiếm
21.038,105.8,cầu giấy
21.034,105.814,ba đình
21.016,105.859,hai bà trưng
20.997,105.816,thanh xuân
21.018,105.808,đống đa
21.034,105.846,hoàn kiếm
21.024,105.851,hoàn kiếm
21.019,105.779,nam từ liêm
21.03,105.83,đống đa
20.995,105.842,thanh xuân
21.012,105.831,đống đa
21.026,105.815,ba đình
20.991,105.81,thanh xuân
20.991,105.822,thanh xuân
21.005,105.832,đống đa
21.007,105.833,đống đa
21.004,105.835,đống đa
21.01,105.832,đống đa
21.043,105.81,ba đình
21.017,105.821,đống đa
21.015,105.781,nam từ liêm
21.032,105.765,nam từ liêm
20.996,105.778,nam từ liêm
21.029,105.74,nam từ liêm
20.989,105.834,thanh xuân
21.017,105.784,nam từ liêm
21.021,105.818,ba đình
21.026,105.856,hoàn kiếm
21.026,105.816,ba đình
21.021,105.844,hoàn kiếm
21.022,105.854,hoàn kiếm
21.031,105.812,ba đình
21.028,105.821,ba đình
21.025,105.849,hoàn kiếm
21.026,105.842,hoàn kiếm
21.01,105.824,đống đa
21.014,105.763,nam từ liêm
21.009,105.823,đống đa
21.034,105.852,hoàn kiếm
21.024,105.854,hoàn kiếm
20.993,105.805,thanh xuân
21.006,105.846,hai bà trưng
21.039,105.789,cầu giấy
21.01,105.837,đống đa
21.016,105.821,đống đa
21.03,105.849,hoàn kiếm
21.026,105.852,hoàn kiếm
21.022,105.857,hoàn kiếm
21.021,105.849,hoàn kiếm
21.013,105.846,hai bà trưng
21.02,105.862,hoàn kiếm
21.037,105.761,nam từ liêm
21.038,105.761,nam từ liêm
21.007,105.845,hai bà trưng
21.029,105.849,hoàn kiếm
21.04,105.85,hoàn kiếm
21.031,105.85,hoàn kiếm
21.012,105.857,hai bà trưng
21.032,105.813,ba đình
21.036,105.762,nam từ liêm
21.037,105.76,nam từ liêm
21.038,105.762,nam từ liêm
21.037,105.763,nam từ liêm
21.039,105.761,nam từ liêm
21.038,105.828,ba đình
21.03,105.847,hoàn kiếm
21.006,105.823,đống đa
21.03,105.848,hoàn kiếm
21.013,105.809,đống đa
21.007,105.816,đống đa
21.038,105.773,cầu giấy
21.026,105.818,ba đình
21.011,105.803,cầu giấy
21.02,105.801,cầu giấy
21.009,105.803,cầu giấy
21.02,105.809,đống đa
21.028,105.831,đống đa
21.008,105.807,cầu giấy
21.019,105.859,hoàn kiếm
21.035,105.834,ba đình
21.045,105.84,ba đình
21.014,105.804,cầu giấy
21.005,105.798,cầu giấy
21.006,105.799,cầu giấy
21.036,105.79,cầu giấy
21.037,105.848,hoàn kiếm
21.013,105.794,cầu giấy
21.028,105.856,hoàn kiếm
21.031,105.849,hoàn kiếm
21.007,105.864,hai bà trưng
21.029,105.85,hoàn kiếm
21.044,105.738,nam từ liêm
21.035,105.81,ba đình
21.031,105.853,hoàn kiếm
21.016,105.832,đống đa
21.032,105.846,hoàn kiếm
21.04,105.847,ba đình
21.015,105.848,hai bà trưng
21.052,105.808,cầu giấy
21.043,105.847,ba đình
21.017,105.796,cầu giấy
21.029,105.846,hoàn kiếm
21.025,105.844,hoàn kiếm
21.01,105.795,cầu giấy
20.998,105.807,thanh xuân
21.03,105.777,nam từ liêm
21.03,105.787,cầu giấy
21.02,105.793,cầu giấy
21.005,105.803,thanh xuân
21.036,105.842,ba đình
21.035,105.842,ba đình
21.022,105.847,hoàn kiếm
21.018,105.859,hai bà trưng
21.034,105.838,ba đình
21.031,105.848,hoàn kiếm
21.016,105.851,hai bà trưng
21.006,105.868,hai bà trưng
21.004,105.846,hai bà trưng
20.993,105.799,thanh xuân
21.04,105.792,cầu giấy
21.03,105.74,nam từ liêm
21.014,105.795,cầu giấy
21.04,105.764,nam từ liêm
21.041,105.79,cầu giấy
20.991,105.798,thanh xuân
21.039,105.802,cầu giấy
21.024,105.801,đống đa
21.027,105.801,đống đa
20.996,105.853,hai bà trưng
21.023,105.829,đống đa
20.995,105.797,thanh xuân
20.994,105.816,thanh xuân
21.033,105.8,cầu giấy
20.995,105.82,thanh xuân
20.989,105.837,thanh xuân
21.02,105.76,nam từ liêm
20.987,105.766,nam từ liêm
20.986,105.765,nam từ liêm
20.986,105.763,nam từ liêm
21.037,105.8,cầu giấy
21.036,105.8,cầu giấy
21.01,105.827,đống đa
21.004,105.826,đống đa
21.036,105.766,nam từ liêm
20.993,105.819,thanh xuân
20.994,105.856,hai bà trưng
21.048,105.803,cầu giấy
20.995,105.846,hai bà trưng
20.986,105.805,thanh xuân
21.031,105.824,ba đình
21.008,105.779,nam từ liêm
20.987,105.812,thanh xuân
20.995,105.822,thanh xuân
21.004,105.85,hai bà trưng
21.004,105.753,nam từ liêm
20.988,105.792,nam từ liêm
