Mã bưu cục,Bưu cục,Địa chỉ,lat,long,Quận,Bưu tá,number_of_order,average_1,average_2
152611,Điểm BĐVHX Dương Nội,"Sô´73, Thôn La Nội, Phường Dương Nội, Quận Hà Đông",20.9799906,105.7485872,hà đông,9,42,4.666666666666667,0.21428571428571427
111770,Bưu cục cấp 3 Bưu cục Giao dịch 5,"Sô´78, Đường Bạch Đằng, Phường Chương Dương Độ, Quận Hoàn Kiếm",21.0102273,105.8679702,hoàn kiếm,12,0,0.0,-1.0
125400,Bưu cục cấp 3 Đức Giang,"Sô´79, Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên",21.05829046,105.8904547,long biên,8,35,4.375,0.22857142857142856
122772,Bưu cục cấp 3 Hoàng Sâm,"Sô´8, Phố Hoàng Sâm, Phường Nghĩa Đô, Quận Cầu Giấy",21.04581489,105.7995332,cầu giấy,12,49,4.083333333333333,0.24489795918367346
118600,Bưu cục cấp 3 Quán Thánh,"Sô´8, Phố Quán Thánh, Phường Nguyễn Trung Trực, Quận Ba Đình",21.04046002,105.8470108,ba đình,10,27,2.7,0.37037037037037035
128181,Bưu cục cấp 3 Giải Phóng,"Sô´811, Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai",20.98319029,105.8414461,hoàng mai,5,74,14.8,0.06756756756756757
152455,Bưu cục cấp 3 Ba La,"Sô´86, Tổ dân phố số 9, Phường Phú Lãm, Quận Hà Đông",20.95590733,105.7575956,hà đông,9,10,1.1111111111111112,0.9
115490,Bưu cục cấp 3 Hoàng Cầu,"Sô´9, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa",21.01925427,105.8272787,đống đa,16,31,1.9375,0.5161290322580645
117000,Bưu cục cấp 3 Láng Trung,"Sô´95, Phố Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa",21.01925353,105.8081429,đống đa,9,81,9.0,0.1111111111111111
122080,Bưu cục cấp 3 Trung tâm dịch vụ Cầu Giấy,"Sô´CT4-5, Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy",21.02246419,105.7878923,cầu giấy,8,33,4.125,0.24242424242424243
152415,Bưu cục cấp 3 KĐT Thanh Hà,"Sô´HH02A, Dãy nhà HH02A, Khu đô thị Thanh Hà CIENCO5, Phường Kiến Hưng, Quận Hà Đông",20.93210186,105.7840411,hà đông,11,6,0.5454545454545454,1.8333333333333333
130658,Bưu cục cấp 3 EMS KHL Từ Liêm,"Sô´Ngõ 84, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm",21.03250106,105.7390944,nam từ liêm,15,27,1.8,0.5555555555555556
152290,Bưu cục cấp 3 La Khê,"Sô´No09, Đường Lê Văn Lương kéo dài, Phường La Khê, Quận Hà Đông",21.00663266,105.8064207,hà đông,8,0,0.0,-1.0
122320,Bưu cục cấp 3 Nghĩa Tân,"Sô´P100, Dãy nhà A15, Khu tập thể Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy",21.04492383,105.7944075,cầu giấy,8,17,2.125,0.47058823529411764
